bee	treatment	group	cage	cage2	alive
bee134	chlorothalonil	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	1
bee135	chlorothalonil	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	1
bee136	chlorothalonil	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	1
bee137	chlorothalonil	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	1
bee138	chlorothalonil	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	1
bee139	chlorothalonil	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	0
bee140	chlorothalonil	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	0
bee141	chlorothalonil	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	0
bee142	chlorothalonil	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1
bee143	chlorothalonil	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1
bee144	chlorothalonil	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1
bee140	chlorothalonil	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1
bee141	chlorothalonil	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1
bee142	chlorothalonil	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1
bee143	chlorothalonil	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1
bee144	chlorothalonil	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1
bee145	chlorothalonil	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1
bee146	chlorothalonil	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1
bee147	chlorothalonil	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1
bee148	chlorothalonil	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1
bee149	chlorothalonil	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1
bee150	chlorothalonil	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1
bee151	chlorothalonil	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	0
bee152	chlorothalonil	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	0
bee153	chlorothalonil	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	0
bee154	chlorothalonil	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee155	chlorothalonil	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee156	chlorothalonil	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee157	chlorothalonil	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee158	chlorothalonil	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee159	chlorothalonil	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
