bee	cycle	group	cage	alive
bee278	cycle_two	control	cage1	1
bee279	cycle_two	control	cage1	1
bee280	cycle_two	control	cage1	1
bee281	cycle_two	control	cage1	1
bee282	cycle_two	control	cage1	1
bee283	cycle_two	control	cage1	1
bee284	cycle_two	control	cage1	1
bee285	cycle_two	control	cage1	1
bee286	cycle_two	control	cage1	1
bee287	cycle_two	control	cage1	0
bee288	cycle_two	control	cage1	0
bee289	cycle_two	control	cage1	0
bee290	cycle_two	control	cage1	0
bee291	cycle_two	control	cage1	0
bee292	cycle_two	control	cage1	0
bee293	cycle_two	control	cage1	0
bee294	cycle_two	control	cage1	0
bee295	cycle_two	control	cage1	0
bee296	cycle_two	control	cage1	0
bee297	cycle_two	control	cage1	0
bee298	cycle_two	control	cage1	0
bee299	cycle_two	control	cage1	0
bee300	cycle_two	control	cage1	0
bee301	cycle_two	control	cage1	0
bee302	cycle_two	control	cage1	0
bee303	cycle_two	control	cage1	0
bee304	cycle_two	control	cage2	1
bee305	cycle_two	control	cage2	1
bee306	cycle_two	control	cage2	1
bee307	cycle_two	control	cage2	1
bee308	cycle_two	control	cage2	1
bee309	cycle_two	control	cage2	1
bee310	cycle_two	control	cage2	1
bee311	cycle_two	control	cage2	1
bee312	cycle_two	control	cage2	1
bee313	cycle_two	control	cage2	1
bee314	cycle_two	control	cage2	1
bee315	cycle_two	control	cage2	0
bee316	cycle_two	control	cage2	0
bee317	cycle_two	control	cage2	0
bee318	cycle_two	control	cage3	1
bee319	cycle_two	control	cage3	0
bee320	cycle_two	control	cage3	0
bee321	cycle_two	control	cage3	0
bee322	cycle_two	control	cage3	0
bee323	cycle_two	control	cage3	0
bee324	cycle_two	control	cage3	0
bee325	cycle_two	control	cage3	0
bee326	cycle_two	control	cage3	0
bee327	cycle_two	control	cage3	0
bee328	cycle_two	control	cage3	0
bee329	cycle_two	control	cage3	0
bee330	cycle_two	control	cage3	0
bee331	cycle_two	control	cage3	0
bee332	cycle_two	control	cage3	0
bee333	cycle_two	control	cage3	0
bee334	cycle_two	control	cage4	1
bee335	cycle_two	control	cage4	0
bee336	cycle_two	control	cage4	0
bee337	cycle_two	control	cage4	0
bee338	cycle_two	control	cage4	0
bee339	cycle_two	control	cage4	0
bee340	cycle_two	control	cage4	0
bee341	cycle_two	control	cage4	0
bee342	cycle_two	control	cage4	0
bee343	cycle_two	control	cage4	0
bee344	cycle_two	control	cage4	0
bee345	cycle_two	control	cage4	0
bee346	cycle_two	control	cage4	0
bee347	cycle_two	control	cage5	1
bee348	cycle_two	control	cage5	1
bee349	cycle_two	control	cage5	1
bee350	cycle_two	control	cage5	1
bee351	cycle_two	control	cage5	1
bee352	cycle_two	control	cage5	1
bee353	cycle_two	control	cage5	1
bee354	cycle_two	control	cage5	1
bee355	cycle_two	control	cage5	0
bee356	cycle_two	control	cage5	0
bee357	cycle_two	control	cage5	0
bee358	cycle_two	control	cage5	0
bee359	cycle_two	control	cage5	0
bee360	cycle_two	control	cage5	0
bee361	cycle_two	control	cage5	0
bee362	cycle_two	control	cage5	0
bee363	cycle_two	control	cage5	0
bee364	cycle_two	control	cage5	0
bee365	cycle_two	control	cage5	0
bee366	cycle_two	control	cage5	0
bee367	cycle_two	control	cage5	0
bee368	cycle_two	control	cage5	0
bee369	cycle_two	control	cage5	0
bee370	cycle_two	control	cage5	0
bee371	cycle_two	control	cage6	1
bee372	cycle_two	control	cage6	1
bee373	cycle_two	control	cage6	1
bee374	cycle_two	control	cage6	0
bee375	cycle_two	control	cage6	0
bee376	cycle_two	control	cage6	0
bee377	cycle_two	control	cage6	0
bee378	cycle_two	control	cage6	0
bee379	cycle_two	control	cage6	0
bee380	cycle_two	control	cage6	0
bee381	cycle_two	control	cage6	0
