bee	cycle	group	cage	alive
bee382	cycle_two	control	cage6	0
bee383	cycle_two	control	cage6	0
bee384	cycle_two	control	cage7	1
bee385	cycle_two	control	cage7	1
bee386	cycle_two	control	cage7	1
bee387	cycle_two	control	cage7	0
bee388	cycle_two	control	cage7	0
bee389	cycle_two	control	cage7	0
bee390	cycle_two	control	cage7	0
bee391	cycle_two	control	cage7	0
bee392	cycle_two	control	cage7	0
bee393	cycle_two	control	cage7	0
bee394	cycle_two	control	cage7	0
bee395	cycle_two	control	cage7	0
bee396	cycle_two	control	cage7	0
bee397	cycle_two	control	cage7	0
bee398	cycle_two	control	cage7	0
bee399	cycle_two	control	cage7	0
bee400	cycle_two	control	cage7	0
bee401	cycle_two	control	cage7	0
bee402	cycle_two	control	cage7	0
bee403	cycle_two	control	cage7	0
bee404	cycle_two	control	cage7	0
bee405	cycle_two	control	cage7	0
bee406	cycle_two	control	cage7	0
bee407	cycle_two	control	cage7	0
bee408	cycle_two	exposed	cage1	1
bee409	cycle_two	exposed	cage1	1
bee410	cycle_two	exposed	cage1	1
bee411	cycle_two	exposed	cage1	1
bee412	cycle_two	exposed	cage1	1
bee413	cycle_two	exposed	cage1	1
bee414	cycle_two	exposed	cage1	1
bee415	cycle_two	exposed	cage1	1
bee416	cycle_two	exposed	cage1	1
bee417	cycle_two	exposed	cage1	1
bee418	cycle_two	exposed	cage1	0
bee419	cycle_two	exposed	cage1	0
bee420	cycle_two	exposed	cage1	0
bee421	cycle_two	exposed	cage1	0
bee422	cycle_two	exposed	cage1	0
bee423	cycle_two	exposed	cage1	0
bee424	cycle_two	exposed	cage1	0
bee425	cycle_two	exposed	cage1	0
bee426	cycle_two	exposed	cage1	0
bee427	cycle_two	exposed	cage1	0
bee428	cycle_two	exposed	cage1	0
bee429	cycle_two	exposed	cage1	0
bee430	cycle_two	exposed	cage1	0
bee431	cycle_two	exposed	cage1	0
bee432	cycle_two	exposed	cage2	1
bee433	cycle_two	exposed	cage2	1
bee434	cycle_two	exposed	cage2	1
bee435	cycle_two	exposed	cage2	1
bee436	cycle_two	exposed	cage2	1
bee437	cycle_two	exposed	cage2	0
bee438	cycle_two	exposed	cage2	0
bee439	cycle_two	exposed	cage2	0
bee440	cycle_two	exposed	cage2	0
bee441	cycle_two	exposed	cage2	0
bee442	cycle_two	exposed	cage2	0
bee443	cycle_two	exposed	cage2	0
bee444	cycle_two	exposed	cage2	0
bee445	cycle_two	exposed	cage2	0
bee446	cycle_two	exposed	cage2	0
bee447	cycle_two	exposed	cage2	0
bee448	cycle_two	exposed	cage2	0
bee449	cycle_two	exposed	cage2	0
bee450	cycle_two	exposed	cage2	0
bee451	cycle_two	exposed	cage3	1
bee452	cycle_two	exposed	cage3	1
bee453	cycle_two	exposed	cage3	1
bee454	cycle_two	exposed	cage3	0
bee455	cycle_two	exposed	cage3	0
bee456	cycle_two	exposed	cage3	0
bee457	cycle_two	exposed	cage3	0
bee458	cycle_two	exposed	cage3	0
bee459	cycle_two	exposed	cage3	0
bee460	cycle_two	exposed	cage3	0
bee461	cycle_two	exposed	cage3	0
bee462	cycle_two	exposed	cage3	0
bee463	cycle_two	exposed	cage3	0
bee464	cycle_two	exposed	cage3	0
bee465	cycle_two	exposed	cage3	0
bee466	cycle_two	exposed	cage3	0
bee467	cycle_two	exposed	cage4	1
bee468	cycle_two	exposed	cage4	1
bee469	cycle_two	exposed	cage4	1
bee470	cycle_two	exposed	cage4	1
bee471	cycle_two	exposed	cage4	1
bee472	cycle_two	exposed	cage4	1
bee473	cycle_two	exposed	cage4	1
bee474	cycle_two	exposed	cage4	1
bee475	cycle_two	exposed	cage4	1
bee476	cycle_two	exposed	cage4	1
bee477	cycle_two	exposed	cage4	1
bee478	cycle_two	exposed	cage4	1
bee479	cycle_two	exposed	cage4	1
bee480	cycle_two	exposed	cage4	0
bee481	cycle_two	exposed	cage4	0
bee482	cycle_two	exposed	cage4	0
bee483	cycle_two	exposed	cage4	0
bee484	cycle_two	exposed	cage4	0
bee485	cycle_two	exposed	cage4	0
bee486	cycle_two	exposed	cage4	0
bee487	cycle_two	exposed	cage4	0
bee488	cycle_two	exposed	cage5	1
bee489	cycle_two	exposed	cage5	1
bee490	cycle_two	exposed	cage5	1
bee491	cycle_two	exposed	cage5	1
bee492	cycle_two	exposed	cage5	1
bee493	cycle_two	exposed	cage5	0
bee494	cycle_two	exposed	cage5	0
bee495	cycle_two	exposed	cage5	0
bee496	cycle_two	exposed	cage5	0
bee497	cycle_two	exposed	cage5	0
bee498	cycle_two	exposed	cage5	0
bee499	cycle_two	exposed	cage5	0
bee500	cycle_two	exposed	cage5	0
bee501	cycle_two	exposed	cage5	0
bee502	cycle_two	exposed	cage5	0
bee503	cycle_two	exposed	cage5	0
bee504	cycle_two	exposed	cage5	0
bee505	cycle_two	exposed	cage5	0
bee506	cycle_two	exposed	cage5	0
bee507	cycle_two	exposed	cage5	0
bee508	cycle_two	exposed	cage5	0
bee509	cycle_two	exposed	cage6	1
bee510	cycle_two	exposed	cage6	1
bee511	cycle_two	exposed	cage6	1
bee512	cycle_two	exposed	cage6	1
bee513	cycle_two	exposed	cage6	1
bee514	cycle_two	exposed	cage6	1
bee515	cycle_two	exposed	cage6	1
bee516	cycle_two	exposed	cage6	0
bee517	cycle_two	exposed	cage6	0
bee518	cycle_two	exposed	cage6	0
bee519	cycle_two	exposed	cage6	0
bee520	cycle_two	exposed	cage6	0
bee521	cycle_two	exposed	cage7	1
bee522	cycle_two	exposed	cage7	1
bee523	cycle_two	exposed	cage7	1
bee524	cycle_two	exposed	cage7	1
bee525	cycle_two	exposed	cage7	1
bee526	cycle_two	exposed	cage7	0
bee527	cycle_two	exposed	cage7	0
bee528	cycle_two	exposed	cage7	0
bee529	cycle_two	exposed	cage7	0
bee530	cycle_two	exposed	cage7	0
bee531	cycle_two	exposed	cage7	0
bee532	cycle_two	exposed	cage7	0
bee533	cycle_two	exposed	cage7	0
bee534	cycle_two	exposed	cage7	0
bee535	cycle_two	exposed	cage7	0
bee536	cycle_two	exposed	cage7	0
bee537	cycle_two	exposed	cage7	0
bee538	cycle_two	exposed	cage7	0
bee539	cycle_two	exposed	cage7	0
bee540	cycle_two	exposed	cage7	0
bee541	cycle_two	exposed	cage7	0
bee542	cycle_two	exposed	cage7	0
bee543	cycle_two	exposed	cage7	0
bee544	cycle_two	exposed	cage7	0
bee545	cycle_two	exposed	cage7	0
