bee	group	cage	cage2	alive
bee152	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	0
bee153	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	0
bee154	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee155	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee156	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee157	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee158	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee159	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee160	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee161	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee162	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee163	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee164	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee165	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee166	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee167	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee168	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1
bee169	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	0
bee170	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	0
bee171	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	0
bee172	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	0
bee173	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	0
bee174	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	0
