SampleID	sample	run	treatment	treatment2	sample_type	cage	treatment_cage	date	cycle	treatment_cage	treatment_cycle	treatment_cycle2
X16.3.Ch3	X16.3.Ch3	run_one	Chlorothalonil_transfer	Chlorothalonil	microbiome_transfer	cage_3	Chlorothalonil_transfer_cage_3	16_3	cycle_two	Chlorothalonil_cage_3	Chlorothalonil_cycle_2	Chlorothalonil_transfer_to_cycle_3
X16.C1.4	X16.C1.4	run_two	Control	Control	single_bee	cage_1	Control_cage_1	16_3	cycle_two	Control_cage_1	Control_cycle_2	Control_cycle_3
X16.C1.5	X16.C1.5	run_one	Control	Control	single_bee	cage_1	Control_cage_1	16_3	cycle_two	Control_cage_1	Control_cycle_2	Control_cycle_3
X16.C1.8	X16.C1.8	run_two	Control	Control	single_bee	cage_1	Control_cage_1	16_3	cycle_two	Control_cage_1	Control_cycle_2	Control_cycle_3
X16.C2.10	X16.C2.10	run_two	Control	Control	single_bee	cage_2	Control_cage_2	16_3	cycle_two	Control_cage_2	Control_cycle_2	Control_cycle_3
X16.C2.5	X16.C2.5	run_one	Control	Control	single_bee	cage_2	Control_cage_2	16_3	cycle_two	Control_cage_2	Control_cycle_2	Control_cycle_3
X16.C2.8	X16.C2.8	run_one	Control	Control	single_bee	cage_2	Control_cage_2	16_3	cycle_two	Control_cage_2	Control_cycle_2	Control_cycle_3
X16.C3.2	X16.C3.2	run_two	Control	Control	single_bee	cage_3	Control_cage_3	16_3	cycle_two	Control_cage_3	Control_cycle_2	Control_cycle_3
X16.C3.3	X16.C3.3	run_one	Control	Control	single_bee	cage_3	Control_cage_3	16_3	cycle_two	Control_cage_3	Control_cycle_2	Control_cycle_3
X16.C3.7	X16.C3.7	run_two	Control	Control	single_bee	cage_3	Control_cage_3	16_3	cycle_two	Control_cage_3	Control_cycle_2	Control_cycle_3
X16.Ch1.4	X16.Ch1.4	run_one	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	16_3	cycle_two	Chlorothalonil_cage_1	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3
X16.Ch1.5	X16.Ch1.5	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	16_3	cycle_two	Chlorothalonil_cage_1	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3
X16.Ch1.9	X16.Ch1.9	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	16_3	cycle_two	Chlorothalonil_cage_1	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3
X16.Ch2.2	X16.Ch2.2	run_one	Chlorothalonil	Chlorothalonil	single_bee	cage_2	Chlorothalonil_cage_2	16_3	cycle_two	Chlorothalonil_cage_2	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3
X16.Ch2.6	X16.Ch2.6	run_one	Chlorothalonil	Chlorothalonil	single_bee	cage_2	Chlorothalonil_cage_2	16_3	cycle_two	Chlorothalonil_cage_2	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3
X16.Ch2.8	X16.Ch2.8	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_2	Chlorothalonil_cage_2	16_3	cycle_two	Chlorothalonil_cage_2	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3
X16.Ch3.2	X16.Ch3.2	run_one	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	16_3	cycle_two	Chlorothalonil_cage_3	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3
X16.Ch3.4	X16.Ch3.4	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	16_3	cycle_two	Chlorothalonil_cage_3	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3
X16.Ch3.6	X16.Ch3.6	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	16_3	cycle_two	Chlorothalonil_cage_3	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3
X21.C1.Ch.1	X21.C1.Ch.1	run_two	control_Chlorothalonil	Control	single_bee	cage_1	control_Chlorothalonil_cage_1	21_3	cycle_three_before_stress	Control_cage_1	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress
X21.C1.Ch.2	X21.C1.Ch.2	run_two	control_Chlorothalonil	Control	single_bee	cage_1	control_Chlorothalonil_cage_1	21_3	cycle_three_before_stress	Control_cage_1	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress
X21.C1.Ch.3	X21.C1.Ch.3	run_one	control_Chlorothalonil	Control	single_bee	cage_1	control_Chlorothalonil_cage_1	21_3	cycle_three_before_stress	Control_cage_1	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress
X21.C2.Ch.1	X21.C2.Ch.1	run_two	control_Chlorothalonil	Control	single_bee	cage_2	control_Chlorothalonil_cage_2	21_3	cycle_three_before_stress	Control_cage_2	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress
X21.C2.Ch.3	X21.C2.Ch.3	run_one	control_Chlorothalonil	Control	single_bee	cage_2	control_Chlorothalonil_cage_2	21_3	cycle_three_before_stress	Control_cage_2	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress
X21.C2.Ch.6	X21.C2.Ch.6	run_one	control_Chlorothalonil	Control	single_bee	cage_2	control_Chlorothalonil_cage_2	21_3	cycle_three_before_stress	Control_cage_2	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress
X21.C3.Ch.1	X21.C3.Ch.1	run_two	control_Chlorothalonil	Control	single_bee	cage_3	control_Chlorothalonil_cage_3	21_3	cycle_three_before_stress	Control_cage_3	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress
X21.C3.Ch.4	X21.C3.Ch.4	run_two	control_Chlorothalonil	Control	single_bee	cage_3	control_Chlorothalonil_cage_3	21_3	cycle_three_before_stress	Control_cage_3	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress
X21.C3.Ch.5	X21.C3.Ch.5	run_one	control_Chlorothalonil	Control	single_bee	cage_3	control_Chlorothalonil_cage_3	21_3	cycle_three_before_stress	Control_cage_3	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress
X21.Ch1.1	X21.Ch1.1	run_one	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	21_3	cycle_three_before_stress	Chlorothalonil_cage_1	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.Ch1.3	X21.Ch1.3	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	21_3	cycle_three_before_stress	Chlorothalonil_cage_1	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.Ch1.6	X21.Ch1.6	run_one	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	21_3	cycle_three_before_stress	Chlorothalonil_cage_1	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.Ch2.3	X21.Ch2.3	run_one	Chlorothalonil	Chlorothalonil	single_bee	cage_2	Chlorothalonil_cage_2	21_3	cycle_three_before_stress	Chlorothalonil_cage_2	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.Ch2.4	X21.Ch2.4	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_2	Chlorothalonil_cage_2	21_3	cycle_three_before_stress	Chlorothalonil_cage_2	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.Ch2.6	X21.Ch2.6	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_2	Chlorothalonil_cage_2	21_3	cycle_three_before_stress	Chlorothalonil_cage_2	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.Ch3.1	X21.Ch3.1	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	21_3	cycle_three_before_stress	Chlorothalonil_cage_3	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.Ch3.4	X21.Ch3.4	run_one	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	21_3	cycle_three_before_stress	Chlorothalonil_cage_3	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.Ch3.5	X21.Ch3.5	run_one	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	21_3	cycle_three_before_stress	Chlorothalonil_cage_3	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X22.C2.Ch.1	X22.C2.Ch.1	run_two	control_Chlorothalonil	Control	single_bee	cage_2	control_Chlorothalonil_cage_2	22_3	cycle_three_after_stress	Control_cage_2	control_Chlorothalonil_cycle_3_after_stress	control_Chlorothalonil_cycle_3_after_stress
X22.C2.Ch.2	X22.C2.Ch.2	run_one	control_Chlorothalonil	Control	single_bee	cage_2	control_Chlorothalonil_cage_2	22_3	cycle_three_after_stress	Control_cage_2	control_Chlorothalonil_cycle_3_after_stress	control_Chlorothalonil_cycle_3_after_stress
X22.C2.Ch.3	X22.C2.Ch.3	run_two	control_Chlorothalonil	Control	single_bee	cage_2	control_Chlorothalonil_cage_2	22_3	cycle_three_after_stress	Control_cage_2	control_Chlorothalonil_cycle_3_after_stress	control_Chlorothalonil_cycle_3_after_stress
X22.C3.Ch.1	X22.C3.Ch.1	run_one	control_Chlorothalonil	Control	single_bee	cage_3	control_Chlorothalonil_cage_3	22_3	cycle_three_after_stress	Control_cage_3	control_Chlorothalonil_cycle_3_after_stress	control_Chlorothalonil_cycle_3_after_stress
X22.C3.Ch.2	X22.C3.Ch.2	run_two	control_Chlorothalonil	Control	single_bee	cage_3	control_Chlorothalonil_cage_3	22_3	cycle_three_after_stress	Control_cage_3	control_Chlorothalonil_cycle_3_after_stress	control_Chlorothalonil_cycle_3_after_stress
X22.C3.Ch.3	X22.C3.Ch.3	run_two	control_Chlorothalonil	Control	single_bee	cage_3	control_Chlorothalonil_cage_3	22_3	cycle_three_after_stress	Control_cage_3	control_Chlorothalonil_cycle_3_after_stress	control_Chlorothalonil_cycle_3_after_stress
X22.C3.Ch.4	X22.C3.Ch.4	run_two	control_Chlorothalonil	Control	single_bee	cage_3	control_Chlorothalonil_cage_3	22_3	cycle_three_after_stress	Control_cage_3	control_Chlorothalonil_cycle_3_after_stress	control_Chlorothalonil_cycle_3_after_stress
X22.Ch1.1	X22.Ch1.1	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	22_3	cycle_three_after_stress	Chlorothalonil_cage_1	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress
